Libellé rayon;Libellé thème;Libellé famille;Libellé sous famille;Produit;Libellé couleurs;PVB;SPRING / SUMMER;Puissance produit;Champs UVS Statut de collection;Prix (selon famille);Iconique;Type saison;Segment
PAP FEMME;CHAINETRAME;BERMUDAS - SHORT;COTON;Référence_0;LICHEN;150;SUMMER;BEST;SAISONNIER;MEDIUM;NON;SUMMER;CASUAL
PAP FEMME;CHAINETRAME;BERMUDAS - SHORT;COTON;Référence_1;SABLE;150;SUMMER;BEST;SAISONNIER;MEDIUM;NON;SUMMER;CASUAL
PAP FEMME;CHAINETRAME;BERMUDAS - SHORT;COTON;Référence_2;NOIR;150;SUMMER;SLOW;SAISONNIER;MEDIUM;NON;SUMMER;CASUAL
PAP FEMME;CHAINETRAME;BERMUDAS - SHORT;COTON;Référence_3;BLEU;165;SUMMER;MEDIUM;SAISONNIER;MEDIUM;NON;SUMMER;CASUAL
PAP FEMME;CHAINETRAME;BERMUDAS - SHORT;VISCOSE;Référence_4;BUBBLE GUM;170;SUMMER;MEDIUM;SAISONNIER;MEDIUM;NON;SUMMER;CASUAL
PAP FEMME;CHAINETRAME;BERMUDAS - SHORT;LAINE;Référence_5;NOIR;175;SPRING;SLOW;SAISONNIER;MEDIUM;NON;MID-SEASON;DAYWEAR
PAP FEMME;CHAINETRAME;BERMUDAS - SHORT;COTON;Référence_6;NOIR;185;SPRING;SLOW;SAISONNIER;MEDIUM;NON;SUMMER;CASUAL
PAP FEMME;CHAINETRAME;BLOUSONS;COTON;Référence_7;JUDO;230;SPRING;BEST;SAISONNIER;LOW;OUI;MID-SEASON;CASUAL
PAP FEMME;CHAINETRAME;BLOUSONS;COTON;Référence_8;BLEU;230;SPRING;PERMANENT;PERMANENT;LOW;OUI;MID-SEASON;CASUAL
PAP FEMME;CHAINETRAME;BLOUSONS;COTON;Référence_9;BEBE;230;SPRING;BEST;SAISONNIER;LOW;OUI;MID-SEASON;CASUAL
PAP FEMME;CHAINETRAME;BLOUSONS;COTON;Référence_10;JUDO;295;SUMMER;MEDIUM;SAISONNIER;LOW;NON;MID-SEASON;CASUAL
PAP FEMME;CHAINETRAME;BLOUSONS;COTON;Référence_11;NOIR;320;SPRING;MEDIUM;SAISONNIER;MEDIUM;OUI;MID-SEASON;CASUAL
PAP FEMME;CHAINETRAME;BLOUSONS;COTON;Référence_12;BLEU;325;SUMMER;SLOW;SAISONNIER;MEDIUM;NON;MID-SEASON;CASUAL
PAP FEMME;CHAINETRAME;BLOUSONS;COTON;Référence_13;OLIVE;350;SUMMER;BEST;SAISONNIER;MEDIUM;OUI;MID-SEASON;CASUAL
PAP FEMME;CHAINETRAME;BLOUSONS;COTON;Référence_14;BRUT;380;SPRING;MEDIUM;SAISONNIER;HIGH;OUI;MID-SEASON;CASUAL
PAP FEMME;CHAINETRAME;BLOUSONS;COTON;Référence_15;BLEU;380;SUMMER;MEDIUM;SAISONNIER;HIGH;OUI;MID-SEASON;CASUAL
PAP FEMME;CHAINETRAME;BLOUSONS;COTON;Référence_16;FOUGERE;395;SUMMER;BEST;NINI;HIGH;OUI;MID-SEASON;CASUAL
PAP FEMME;CHAINETRAME;BLOUSONS;VISCOSE;Référence_17;BUBBLE GUM;460;SUMMER;BEST;SAISONNIER;HIGH;NON;MID-SEASON;DAYWEAR
PAP FEMME;CHAINETRAME;BLOUSONS;LAINE;Référence_18;NOIR;630;SPRING;MEDIUM;SAISONNIER;HIGH;NON;MID-SEASON;DAYWEAR
PAP FEMME;CHAINETRAME;CARACO;SOIE;Référence_19;JAPON;135;SPRING;MEDIUM;SAISONNIER;MEDIUM;NON;MID-SEASON;DAYWEAR
PAP FEMME;CHAINETRAME;CARACO;SOIE;Référence_19;FLAMANT;135;SPRING;MEDIUM;SAISONNIER;MEDIUM;NON;MID-SEASON;DAYWEAR
PAP FEMME;CHAINETRAME;CARACO;SOIE;Référence_19;JUDO;135;SPRING;BEST;SAISONNIER;MEDIUM;NON;MID-SEASON;DAYWEAR
PAP FEMME;CHAINETRAME;CARACO;SOIE;Référence_19;NOIR;135;SPRING;BEST;PERMANENT;MEDIUM;NON;MID-SEASON;DAYWEAR
